BA2377D4,0,0,0,6723112,
BA2377D4,0,0,0,6726258,
BA2377D4,0,0,0,6729743,
BA2377D4,28,28,0,6729896,
BA2377D4,13681,13651,30,6729897,
BA2377D4,14064,13883,181,6760898,
BA2377D4,1918,1856,62,6880043,
BA2377D4,53706,3247,50459,6881557,
AAF98679,21875,50,21825,6962001,
BA2377D4,0,0,0,6966794,
BA2377D4,46868,160,46708,6966818,
AAF98679,17714,10,17704,7038019,
BA2377D4,16,0,16,7047073,
BA2377D4,35950,96,35854,7048153,
BA2377D4,51351,51,51300,7104089,
BA2377D4,36540,6,36534,7167524,
AAF98679,23858,4,23854,7241586,
,60915,2,60913,7242923,
AAF98679,31413,4,31409,7282648,
AAF98679,27126,7,27119,7339469,
BA2377D4,45345,237,45108,7345401,
BA2377D4,37665,8,37657,7446897,
AAF98679,7795,7616,179,7460823,
AAF98679,0,0,0,7463436,
BA2377D4,0,0,0,7506535,
BA2377D4,0,0,0,7506565,
BA2377D4,0,0,0,7506586,
BA2377D4,0,0,0,7506613,
BA2377D4,0,0,0,7507037,
BA2377D4,0,0,0,7507387,
AAF98679,0,0,0,7508062,
AAF98679,0,0,0,7508084,
AAF98679,0,0,0,7508109,
AAF98679,0,0,0,7508146,
AAF98679,0,0,0,7508197,
BA2377D4,6104,5,6099,7508495,
AAF98679,41780,65,41715,7516390,
BA2377D4,27554,53,27501,7518889,
BA2377D4,41488,146,41342,7543686,
BA2377D4,6352,5988,364,7583123,
BA2377D4,35767,10,35757,7592837,
AAF98679,28920,6,28914,7605380,
BA2377D4,43599,16234,27365,7649070,
AAF98679,563,78,485,7660612,
AAF98679,17922,17419,503,7660687,
AAF98679,9717,9281,436,7672177,
3A1D73D4,0,0,0,7692867,
3A1D73D4,16281,20,16261,7692921,
BA2377D4,0,0,0,7733227,
BA2377D4,15,2,13,7733273,
BA2377D4,43859,20,43839,7733370,
AAF98679,27368,83,27285,7743372,
BA2377D4,15,1,14,7761855,
BA2377D4,15170,78,15092,7761919,
AAF98679,19399,336,19063,7821971,
BA2377D4,38535,833,37702,7828105,
BA2377D4,24182,46,24136,7840059,
AAF98679,13404,9,13395,7869340,
AAF98679,18674,2098,16576,7872630,
BA2377D4,59993,319,59674,7889345,
AAF98679,23833,3089,20744,7929314,
BA2377D4,1,0,1,7961043,
,0,0,0,7961051,
BA2377D4,54798,113,54685,7961059,
BA2377D4,33591,17,33574,7979235,
BA2377D4,12050,69,11981,7989026,
AAF98679,14544,14458,86,7997238,
BA2377D4,14437,13659,778,8006940,
AAF98679,2385,2267,118,8026354,
BA2377D4,25368,24663,705,8030101,
AAF98679,13289,61,13228,8042144,
AAF98679,15839,7,15832,8047480,
AAF98679,11164,10690,474,8063020,
BA2377D4,33133,32981,152,8084762,
AAF98679,23020,22435,585,8102050,
BA2377D4,4497,3816,681,8145934,
BA2377D4,33885,6409,27476,8174244,
AAF98679,16570,15061,1509,8196313,
BA2377D4,0,0,0,8220484,
BA2377D4,43099,6580,36519,8220502,
AAF98679,32000,1214,30786,8279911,
BA2377D4,62497,6136,56361,8294812,
BA2377D4,15503,14691,812,8319186,
BA2377D4,0,0,0,8324007,
BA2377D4,3264,3031,233,8324048,
AAF98679,3552,2834,718,8332513,
BA2377D4,130,39,91,8352556,
BA2377D4,4148,1977,2171,8376504,
BA2377D4,42686,200,42486,8386361,
AAF98679,21136,83,21053,8393565,
BA2377D4,28708,92,28616,8404986,
BA2377D4,0,0,0,8412869,
BA2377D4,11582,41,11541,8413056,
AAF98679,4687,4199,488,8425556,
AAF98679,2342,2045,297,8434839,
AAF98679,25486,24070,1416,8452603,
BA2377D4,36445,5741,30704,8465989,
BA2377D4,23852,22844,1008,8534681,
BA2377D4,8103,7668,435,8542136,
AAF98679,6346,6014,332,8549795,
BA2377D4,17384,15834,1550,8581721,
BA2377D4,14546,12767,1779,8619894,
AAF98679,18716,18031,685,8632639,
BA2377D4,5469,4985,484,8637524,
BA2377D4,20255,19379,876,8645489,
BA2377D4,20706,1593,19113,8667417,
AAF98679,5099,4829,270,8676262,
AAF98679,36571,35908,663,8703375,
BA2377D4,5732,5711,21,8760331,
BA2377D4,679,678,1,8765541,
BA2377D4,0,0,0,8765790,
BA2377D4,25241,24914,327,8765818,
BA2377D4,15646,15379,267,8772849,
AAF98679,16154,15850,304,8776664,
BA2377D4,19127,18696,431,8821083,
BA2377D4,0,1,-1,8824804,
BA2377D4,0,0,0,8825645,
BA2377D4,9300,9193,107,8826090,
AAF98679,22092,21784,308,8845227,
BA2377D4,13144,12566,578,8850895,
BA2377D4,26565,25829,736,8862295,
BA2377D4,7447,7436,11,8908069,
AAF98679,13928,13855,73,8914834,
BA2377D4,801,790,11,8916883,
AAF98679,19155,19111,44,8956829,
BA2377D4,1,1,0,8974149,
BA2377D4,0,0,0,8974164,
BA2377D4,0,0,0,8974201,
AAF98679,78,77,1,8974293,
BA2377D4,9965,9214,751,8974432,
BA2377D4,221,215,6,9016451,
BA2377D4,32064,24100,7964,9017084,
AAF98679,23885,22706,1179,9038071,
BA2377D4,16266,15842,424,9050640,
